"","latitud","longitud","taxon.name"
"837",41.3996564894,2.1718582897,"Dichondra micrantha"
"838",41.3995433333,2.1719183333,"Dichondra micrantha"
"843",41.3998402319,2.1726621224,"Dichondra micrantha"
"848",41.40006,2.1728466667,"Dichondra micrantha"
"849",41.3999266667,2.17293,"Dichondra micrantha"
"850",41.4000066667,2.1736566667,"Dichondra micrantha"
"852",41.4000833333,2.1737,"Dichondra micrantha"
"855",41.4002571599,2.1738082121,"Dichondra micrantha"
"856",41.4000833333,2.1738866667,"Dichondra micrantha"
"859",41.3944716667,2.1748133333,"Dichondra micrantha"
"860",41.3945033333,2.1748133333,"Dichondra micrantha"
"862",41.3944833333,2.1748266667,"Dichondra micrantha"
"864",41.4003133333,2.1745283333,"Dichondra micrantha"
"877",41.400415,2.175135,"Dichondra micrantha"
"878",41.4003350908,2.1754611515,"Dichondra micrantha"
"879",41.395505,2.1763683333,"Dichondra micrantha"
"882",41.3942401,2.1764654,"Dichondra micrantha"
"888",41.395555,2.1765183333,"Dichondra micrantha"
"889",41.395405,2.1766216667,"Dichondra micrantha"
"890",41.393798,2.1768507,"Dichondra micrantha"
"891",41.4009664861,2.1769576843,"Dichondra micrantha"
"893",41.4013966667,2.1774166667,"Dichondra micrantha"
"895",41.3927104,2.1785115,"Dichondra micrantha"
"905",41.4014266667,2.1787633333,"Dichondra micrantha"
"908",41.4014816667,2.1788866667,"Dichondra micrantha"
"919",41.4014424789,2.1792386711,"Dichondra micrantha"
"924",41.4017283333,2.17969,"Dichondra micrantha"
"926",41.4016290439,2.1797942335,"Dichondra micrantha"
"932",41.4018270437,2.1802340057,"Dichondra micrantha"
"938",41.4018166738,2.1803147131,"Dichondra micrantha"
"939",41.4017589191,2.1803257895,"Dichondra micrantha"
"946",41.4018520133,2.1806294228,"Dichondra micrantha"
"947",41.4018730504,2.180681015,"Dichondra micrantha"
"955",41.4019286073,2.1813207849,"Dichondra micrantha"
"971",41.4022231599,2.1822330806,"Dichondra micrantha"
"974",41.4021783333,2.1829416667,"Dichondra micrantha"
"975",41.4023481684,2.1829717161,"Dichondra micrantha"
"976",41.4024783333,2.1830866667,"Dichondra micrantha"
"977",41.3871,2.1841083333,"Dichondra micrantha"
"978",41.4024627142,2.1833252895,"Dichondra micrantha"
"979",41.4025434542,2.1836798605,"Dichondra micrantha"
"991",41.40415,2.190125,"Dichondra micrantha"
"992",41.40424,2.190885,"Dichondra micrantha"
"995",41.4042069385,2.1912564384,"Dichondra micrantha"
"998",41.4212133333,2.1910283333,"Dichondra micrantha"
"999",41.4045466667,2.19227,"Dichondra micrantha"
"1008",41.4052074831,2.1931327144,"Dichondra micrantha"
"1009",41.405201447,2.1931956796,"Dichondra micrantha"
"1026",41.4048893485,2.1936379369,"Dichondra micrantha"
"1027",41.4055366667,2.1936083333,"Dichondra micrantha"
"1029",41.4086333333,2.19346,"Dichondra micrantha"
"1030",41.4079216667,2.19351,"Dichondra micrantha"
"1032",41.4093,2.1936183333,"Dichondra micrantha"
