"","taxon.name","cartodb_id","comarca","provincia","nom_comar","sup_comar","geometry"
"151","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.1180835499, 41.3676830208)
"152","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.1181602404, 41.3674753855)
"153","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1175583333, 41.3861033333)
"154","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1192366667, 41.3854333333)
"155","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.119265, 41.385315)
"156","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.1192483333, 41.3859733333)
"157","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1193616667, 41.3867533333)
"158","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1195381, 41.3856799)
"159","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1197566667, 41.38493)
"160","Lantana",19,13,"08","Barcelonès",146.29,c(2.11987, 41.3861583333)
"161","Lantana",19,13,"08","Barcelonès",146.29,c(2.1199983333, 41.386185)
"162","Lantana",19,13,"08","Barcelonès",146.29,c(2.1201383333, 41.3861883333)
"163","Lantana",19,13,"08","Barcelonès",146.29,c(2.1200266667, 41.3893966667)
"164","Lantana",19,13,"08","Barcelonès",146.29,c(2.1202016667, 41.386185)
"165","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1200683333, 41.389415)
"166","Lantana",19,13,"08","Barcelonès",146.29,c(2.1202833333, 41.3861516667)
"167","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.120355, 41.3862566667)
"168","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.12018, 41.3897466667)
"169","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1204266667, 41.38496)
"170","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.120245, 41.389905)
"171","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1203716667, 41.3891716667)
"172","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.1205866667, 41.3850716667)
"173","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1204733333, 41.3899616667)
"174","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.12095, 41.3847566667)
"175","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1208466667, 41.3887933333)
"176","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1207916667, 41.3900733333)
"177","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.121255, 41.3873233333)
"178","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1214516667, 41.3873716667)
"179","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1218433333, 41.390475)
"180","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1221066667, 41.3906283333)
"181","Lantana",19,13,"08","Barcelonès",146.29,c(2.12216, 41.3908716667)
"182","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1222666667, 41.3906566667)
"183","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1222883333, 41.3906516667)
"184","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1224783333, 41.3879166667)
"185","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1226666667, 41.3875883333)
"186","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1226566667, 41.3878866667)
"187","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1212305, 41.4202333333)
"188","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.12297, 41.38678)
"189","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.12108883, 41.424095)
"190","Cenchrus longisetus",19,13,"08","Barcelonès",146.29,c(2.1229583333, 41.3880416667)
"191","Ipomoea indica",19,13,"08","Barcelonès",146.29,c(2.1241784468, 41.36895565)
"192","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1232483333, 41.38801)
"193","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1232983333, 41.3880033333)
"194","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1235166667, 41.3871516667)
"195","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1236446872, 41.3857278669)
"196","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1236510575, 41.3856798209)
"197","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1236233333, 41.3871816667)
"198","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1237183333, 41.387685)
"199","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1237666667, 41.3870716667)
"200","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1237316667, 41.3879966667)
"201","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1237516667, 41.3877033333)
"202","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1238933333, 41.3875266667)
"203","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.123905, 41.3877066667)
"204","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.123965, 41.3871683333)
"205","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1240166667, 41.387235)
"206","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.124155, 41.388085)
"207","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1243733333, 41.3880916667)
"208","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1248316667, 41.38822)
"209","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1261805, 41.362025)
"210","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1249716667, 41.3882416667)
"211","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1250283333, 41.3872566667)
"212","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1250383333, 41.3873116667)
"213","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1250766667, 41.3872933333)
"214","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.125045, 41.3880316667)
"215","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1251266667, 41.3873133333)
"216","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1252383333, 41.387615)
"217","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.125265, 41.3872)
"218","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1255866667, 41.3879566667)
"219","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1260466667, 41.379825)
"220","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.126095, 41.37993)
"221","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1263933333, 41.3802166667)
"222","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.1266416667, 41.3803333333)
"223","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.12625, 41.38846)
"224","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1267716667, 41.37994)
"225","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1266783333, 41.3876933333)
"226","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1272154618, 41.3847663068)
"227","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1272366667, 41.3845866667)
"228","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1272016667, 41.3877433333)
"229","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.127395, 41.3844716667)
"230","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1274616667, 41.38413)
"231","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.127525, 41.3836366667)
"232","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.1273946339, 41.3882175343)
"233","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.127585601, 41.388816913)
"234","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.1276889222, 41.3889228985)
"235","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.127712138, 41.3888358049)
"236","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1281233333, 41.38271)
"237","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1281088889, 41.3835647563)
"238","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.1284488589, 41.3828103297)
"239","Lantana camara",19,13,"08","Barcelonès",146.29,c(2.1284562, 41.3900629)
"240","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.129015, 41.3796683333)
"241","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.129015, 41.380945)
"242","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1287309, 41.3893605)
"243","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1287737, 41.3887461)
"244","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1292366667, 41.3811416667)
"245","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.12958, 41.3772533333)
"246","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1291166667, 41.3886266667)
"247","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1296666667, 41.37895)
"248","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1280765689, 41.4179309302)
"249","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1280737196, 41.4180107423)
"250","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.130285, 41.3762833333)
"251","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.129805, 41.3895083333)
"252","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1302131657, 41.3830851904)
"253","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1286241798, 41.4176601052)
"254","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.130045, 41.39013)
"255","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1288470658, 41.4173102557)
"256","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.128859977, 41.4174014605)
"257","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1307558939, 41.381621752)
"258","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1305410269, 41.3893653244)
"259","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1307116667, 41.3889466667)
"260","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.13072, 41.3889283333)
"261","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1307466667, 41.3889583333)
"262","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1307433333, 41.389675)
"263","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1308713558, 41.3895640062)
"264","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1309208787, 41.3895236875)
"265","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.1308883333, 41.3902233333)
"266","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1309681165, 41.3893235494)
"267","Ligustrum lucidum",19,13,"08","Barcelonès",146.29,c(2.1310433643, 41.3893179872)
"268","Mirabilis jalapa",19,13,"08","Barcelonès",146.29,c(2.1319833333, 41.3744533333)
"269","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.132155, 41.37287)
"270","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1313833333, 41.3885233333)
"271","Mesembryanthemum cordifolium",19,13,"08","Barcelonès",146.29,c(2.1313983333, 41.3885466667)
"272","Senecio angulatus",19,13,"08","Barcelonès",146.29,c(2.1312833333, 41.3931116667)
"273","Dichondra micrantha",19,13,"08","Barcelonès",146.29,c(2.131685, 41.3888866667)
"274","Kalanchoe × houghtonii",19,13,"08","Barcelonès",146.29,c(2.1330221667, 41.3689583333)
